['INFO ]2023-07-27 11:34:24,580(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-********* Creating Assignment with existing values and missing fields *********
['INFO ]2023-07-27 11:34:24,820(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-********* Creating Assignment with existing values and missing fields *********
['INFO ]2023-07-27 11:34:25,129(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-********* Get all Assignment *********
['INFO ]2023-07-27 11:34:25,377(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-********* Get Assignment by ID *********
['INFO ]2023-07-27 11:34:25,512(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-********* Get Assignment with invalid assignmentid*********
['INFO ]2023-07-27 11:34:25,630(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-********* Get Assignment for batch *********
['INFO ]2023-07-27 11:34:25,845(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-********* Get Assignment with invalid batchid *********
['INFO ]2023-07-27 11:34:25,978(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-********* Update Assignment with valid assignmentid *********
['INFO ]2023-07-27 11:34:26,383(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-********* update Assignment with invalid assignmentid *********
['INFO ]2023-07-27 11:34:26,736(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-********* Update Assignment with missing mandatory fields *********
['INFO ]2023-07-27 11:34:27,121(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-********* Update Assignment with missing mandatory fields *********
['INFO ]2023-07-27 11:34:27,472(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-********* Update Assignment with missing mandatory fields *********
['INFO ]2023-07-27 11:34:27,834(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-********* Update Assignment with missing mandatory fields *********
['INFO ]2023-07-27 11:34:28,389(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-********* Update Assignment with missing mandatory fields *********
['INFO ]2023-07-27 11:34:28,723(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-********* Update Assignment with missing mandatory fields *********
['INFO ]2023-07-27 11:34:29,131(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-********* Update Assignment with missing mandatory fields *********
['INFO ]2023-07-27 11:34:29,486(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-********* Update Assignment with missing mandatory fields *********
['INFO ]2023-07-27 11:34:29,816(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-********* Update Assignment with missing mandatory fields *********
['INFO ]2023-07-27 11:34:30,123(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-********* Update Assignment with missing mandatory fields *********
['INFO ]2023-07-27 11:34:30,470(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-********* Deleting Assignment with valid assignmentid *********
['INFO ]2023-07-27 11:34:30,581(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-********* Deleting Assignment with invalid assignmentid *********
